2D_check_legality	nypd_check_legality 
2D_legalizer_toolbox	nypd_toolbox 
ac	all_connected 
alc	als_add_to_last_command 
cb	current_block 
ch	als_change_highlight 
cl	current_lib 
cr	::fp::create_row 
cs	change_selection 
csa	change_selection -add 
fc	filter_collection 
ga	get_attribute 
gb	get_bounds 
gc	get_cells 
gch	get_cells -hierarchical 
gh	als_get_highlight 
gn	get_nets 
gobl	get_objects_by_location 
gon	get_object_name 
gp	get_pins 
gs	get_selection 
gt	get_terminals 
gtpmax	get_timing_paths -delay_type max 
gtpmin	get_timing_paths -delay_type min 
gw	get_shapes -filter "shape_type==path" 
h	history -h 
hg	als_history_grep 
la	list_attributes -application -nosplit 
lag	als_list_attributes_grep 
lb	list_blocks 
lcg	start_gui; source $::env(SD_BUILD2)/utils/gui.bootstrap.tcl 
ob	open_block 
ol	open_lib 
pac	als_print_all_connected 
pc	als_print_collection 
pl	als_print_list 
pop	als_pop_from_cell 
push	als_push_to_cell 
qtcl_activate_widget_slot	qtcl_activate_slot 
qtcl_add_widget_property	qtcl_add_property 
qtcl_check_widget	qtcl_check 
qtcl_connect_widgets	qtcl_connect 
qtcl_create_widget	qtcl_create 
qtcl_destroy_widget	qtcl_destroy 
qtcl_disconnect_widgets	qtcl_disconnect 
qtcl_get_widget_data	qtcl_get_data 
qtcl_get_widget_property	qtcl_get_property 
qtcl_operate_widget	qtcl_operate 
qtcl_remove_widget_property	qtcl_remove_property 
qtcl_set_widget_property	qtcl_set_property 
qv	print_vars -print -value -regexp 
ra	report_attributes -application -nosplit 
rc	remove_from_collection 
rct	report_clock_timing -type latency -net -physical -verbose 
report_aocvm	report_ocvm {-type} {aocvm} 
rt	report_timing -significant_digits 4 -input_pins -capacitance -nets -attributes -delay_type max -transition_time -physical -path_type full_clock 
rtmax	report_timing -sort_by slack -significant_digits 4 -nosplit -transition_time -nets -input_pins -capacitance -delay_type max -attributes -physical 
rtmin	report_timing -sort_by slack -significant_digits 4 -nosplit -transition_time -nets -input_pins -capacitance -delay_type min -attributes -physical 
s_cell	::gui::select_cell 
s_net	::gui::select_net 
s_port	::gui::select_port 
s_terminal	::gui::select_terminal 
sa	set_attribute 
sc	sizeof_collection 
sg	start_gui 
st	rdt_list_steps -print 
stages	als_stages 
steps	als_steps 
zs	::gui::zoom -selection
